Nome,Descrição,Estoque Atual,Estoque Mínimo,Localização
Suporte universal desmontável,Suporte desmontável para diversos fins,8,2,Almoxarifado Geral - Prateleira 2
Suporte universal para TV,Suporte de parede para televisores,5,2,Almoxarifado Geral - Prateleira 3
Suporte para monitor,Suporte de mesa ou parede para monitores,16,4,Almoxarifado Geral - Prateleira 3
Guia passa cabo,Organizador para direcionamento de cabos,10,3,Almoxarifado Geral - Gaveta A
Trava de notebook,Cabo de segurança para notebooks,36,7,Almoxarifado Geral - Gaveta B
Estabilizador,Estabilizador de tensão para equipamentos eletrônicos,4,2,Sala de Equipamentos
Leitor de cartão,Leitor de cartões de memória USB,5,2,Almoxarifado TI - Gaveta 3
Leitor biométrico,Leitor de impressão digital USB,4,1,Almoxarifado TI - Gaveta 3
Apresentador sem fio,Passador de slides com apontador laser,3,1,Armário de Periféricos - Seção D
Speaker,Caixa de som para computador,2,1,Armário de Periféricos - Seção A
Cooler Next PC,Ventoinha para refrigeração de gabinete da marca Next PC,6,2,Almoxarifado TI - Gaveta 4
Cadeados Gold 35mm (6 unidades cada),Caixa com 6 unidades de cadeados de 35mm da marca Gold,3,1,Armário de Segurança - Gaveta 1
Cadeados Piller 20mm (1 unidade cada),Cadeado de 20mm da marca Piller,9,3,Armário de Segurança - Gaveta 1
Cadeados General 20mm (1 unidade cada),Cadeado de 20mm da marca General,2,1,Armário de Segurança - Gaveta 1
Cadeado Stam 20mm (1 unidade),Cadeado de 20mm da marca Stam,1,1,Armário de Segurança - Gaveta 1
Cadeados Land 25mm com chave (1 unidade cada),Cadeado de 25mm com chave da marca Land,28,6,Armário de Segurança - Gaveta 2
Cartucho NP,Cartucho de tinta para impressora,3,1,Armário de Suprimentos - Prateleira A
Toner vazio,Cartucho de toner para impressora (vazio para recarga),13,3,Área de Descarte/Reciclagem
Pasta térmica (comum),Pasta térmica para dissipadores de calor,1,1,Bancada de Manutenção
Pasta térmica 5g,Seringa de 5g de pasta térmica de alta performance,1,1,Bancada de Manutenção
Micro óleo,Óleo lubrificante para pequenos mecanismos,2,1,Bancada de Manutenção
Limpa contato,Spray para limpeza de contatos elétricos,12,3,Bancada de Manutenção
Etiqueta para etiquetadora,Rolo de etiquetas para rotuladora,2,1,Armário de Suprimentos - Gaveta A
Bateria de BIOS,Bateria modelo CR2032 para placa-mãe,15,5,Almoxarifado TI - Gaveta 5
Organizador de cabo,Pacote com organizadores de cabos tipo velcro ou similar,3,1,Almoxarifado Geral - Gaveta A
Abraçadeira de nylon,Pacote com abraçadeiras de nylon (enforca-gato),200,50,Bancada de Manutenção
Rolo de solda,Rolo de estanho para solda eletrônica,10,2,Bancada de Manutenção
T's,Adaptador de tomada tipo 'T',25,5,Caixa de Adaptadores Elétricos 
